model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std
random_forest,0.99375,0.005508727110700368,0.9937136490573764,0.005550849628890096
extra_trees,0.9920454545454545,0.004887684810819686,0.9919841086261219,0.004987662870045151
svm_rbf,0.9823863636363637,0.0048876848108196655,0.9822118168978686,0.004895491688668094
logistic_regression,0.9681818181818181,0.006577180058403534,0.9678236006626216,0.006765232166249332
